network,method,rep,trial,best_so_far
BA1000,GA,optseed3,16,0.0209733164801314
BA1000,GA,optseed3,17,0.0209733164801314
BA1000,GA,optseed3,18,0.0209733164801314
BA1000,GA,optseed3,19,0.0209733164801314
BA1000,GA,optseed3,20,0.0209733164801314
BA1000,GA,optseed3,21,0.0209733164801314
BA1000,GA,optseed3,22,0.0209733164801314
BA1000,GA,optseed3,23,0.0209733164801314
BA1000,GA,optseed3,24,0.0209733164801314
BA1000,GA,optseed3,25,0.0209733164801314
BA1000,GA,optseed3,26,0.0209733164801314
BA1000,GA,optseed3,27,0.0209733164801314
BA1000,GA,optseed3,28,0.0209733164801314
BA1000,GA,optseed3,29,0.0209733164801314
BA1000,GA,optseed3,30,0.0209733164801314
BA1000,GA,optseed3,31,0.0209733164801314
BA1000,GA,optseed3,32,0.0209733164801314
BA1000,GA,optseed3,33,0.0209733164801314
BA1000,GA,optseed3,34,0.0209733164801314
BA1000,GA,optseed3,35,0.0209733164801314
BA1000,GA,optseed3,36,0.0209733164801314
BA1000,GA,optseed3,37,0.0209733164801314
BA1000,GA,optseed3,38,0.0209733164801314
BA1000,GA,optseed3,39,0.0209733164801314
BA1000,GA,optseed3,40,0.0209733164801314
BA1000,GA,optseed3,41,0.0209733164801314
BA1000,GA,optseed3,42,0.0209733164801314
BA1000,GA,optseed3,43,0.0209733164801314
BA1000,GA,optseed3,44,0.0209733164801314
BA1000,GA,optseed3,45,0.0209733164801314
BA1000,GA,optseed3,46,0.0209733164801314
BA1000,GA,optseed3,47,0.0209733164801314
BA1000,GA,optseed3,48,0.0209733164801314
BA1000,GA,optseed3,49,0.0209733164801314
BA1000,GA,optseed3,50,0.0209733164801314
BA1000,GA,optseed3,51,0.0209733164801314
BA1000,GA,optseed3,52,0.0209733164801314
BA1000,GA,optseed3,53,0.0209733164801314
BA1000,GA,optseed3,54,0.0209733164801314
BA1000,GA,optseed3,55,0.0209733164801314
