network,variant,contrast,metric,seed_count,mean_diff,std_diff,min_diff,max_diff,mean_abs_diff,positive_seed_count,negative_seed_count,zero_seed_count
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_shared_ratio_misinformation,5,-0.0018083684080218321,0.0012366849394363018,-0.0032631839564249976,-0.0001510274820500923,0.0018083684080218321,0,5,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,mean_total_shared_ratio_observational,5,0.0021967704912028985,0.00832737162895591,-0.011373952448475833,0.00971974858037361,0.006746351470593231,4,1,0
fbdeg_rewire_0p1,rewire_0p1,certainty_high_minus_effective_high,peak_mean_selfish_ratio,5,0.0008541718247090907,0.0002892892126218224,0.00036890319385987635,0.0011463233473632123,0.0008541718247090907,5,0,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,-0.08376132706115365,0.008187941118106527,-0.08939836593216133,-0.06964347610794741,0.08376132706115365,0,5,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,0.6911304778410496,1.93743413405933,-2.211941074523402,3.230304530824462,1.5759069076504104,4,1,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,5,-0.003846496657588361,0.0064750367608571975,-0.012002971032432974,0.005909878682841985,0.006210448130725155,1,4,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,5,0.02233628095029876,0.10182199231012712,-0.07378256658315574,0.17178539073578059,0.07907461246016134,2,3,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,5,-0.007529091359247342,0.0007731743652556354,-0.008403070066848234,-0.0066996781381530035,0.007529091359247342,0,5,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_shared_ratio_corrective,5,0.07814805644961628,0.3253299209979133,-0.4066575885120076,0.5079376083188909,0.24081109185441935,4,1,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_shared_ratio_misinformation,5,0.00021440950730384768,0.0009669218982385783,-0.0009086407526615048,0.0013963852438724222,0.0008145580589254964,3,2,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,mean_total_shared_ratio_observational,5,-7.75027457524391e-05,0.02399353826076008,-0.025936682906691766,0.030399274685453226,0.019808218544492523,2,3,0
fbdeg_rewire_0p1,rewire_0p1,effective_high_minus_balance,peak_mean_selfish_ratio,5,-0.0002535281010151047,0.00029268397688158665,-0.0006164892300074276,0.0002005446892795193,0.00033374597672691244,1,4,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_fst_viewed_ratio_behavior_guiding,5,0.35073830155979197,0.01664252242891971,0.32940331765288433,0.3681010151027482,0.35073830155979197,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_fst_viewed_ratio_corrective,5,3.102078237187423,1.0588249966967873,1.9788388214904664,4.688779400841796,3.102078237187423,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_fst_viewed_ratio_misinformation,5,0.010590245110175544,0.006879701079566063,0.005142361970785103,0.021839564248575805,0.010590245110175544,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_fst_viewed_ratio_observational,5,0.08373009753518987,0.05224437404756125,0.03661033336483144,0.17178539073578059,0.08373009753518987,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_shared_ratio_behavior_guiding,5,0.03047536518940332,0.0011671889553024504,0.029205248823966315,0.032371874226293645,0.03047536518940332,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_shared_ratio_corrective,5,0.4584382272839811,0.1617263905003026,0.27165882644218886,0.6724733845011139,0.4584382272839811,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_shared_ratio_misinformation,5,0.0021084426838326566,0.0012160137188719814,0.0007427581084427093,0.003285466699678108,0.0021084426838326566,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,mean_total_shared_ratio_observational,5,0.020077468358802992,0.009629748765823513,0.006186894082154087,0.03174552375700557,0.020077468358802992,5,0,0
fbdeg_rewire_0p1,rewire_0p1,max_minus_min_strategy,peak_mean_selfish_ratio,5,0.0008942807625649946,0.00030895920098078473,0.00036890319385987635,0.0011463233473632123,0.0008942807625649946,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,0.3670096558554098,0.008566136842498248,0.35955929685565735,0.3804159445407278,0.3670096558554098,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,-1.1559376083188895,1.485916280616591,-2.5721193364694237,1.2221416192126817,1.6447942560039621,1,4,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,5,-0.004468927952463631,0.009169093554452955,-0.014917058677891504,0.00540232730874024,0.007676652636791559,2,3,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_observational,5,0.024464036984834257,0.06379182956365913,-0.04258849353135297,0.10445978965544778,0.05657779353015915,3,2,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_behavior_guiding,5,0.020482792770487746,0.0005672233371816675,0.01967071057192374,0.021059668234711566,0.020482792770487746,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_corrective,5,-0.09949492448625881,0.2635321298836084,-0.334706610547165,0.3132854666996785,0.2248091111661302,1,4,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_misinformation,5,-0.0021213171577123546,0.0014236836481975688,-0.004431790047041417,-0.0009754889824213908,0.0021213171577123546,0,5,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,mean_total_shared_ratio_observational,5,0.011591272223548244,0.009443034756697943,0.003951373102153044,0.022882295727319923,0.011591272223548244,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_balance,peak_mean_selfish_ratio,5,0.000825451844515973,0.0002449137788830479,0.0006164892300074276,0.001232978460014869,0.000825451844515973,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_behavior_guiding,5,0.4711963357266651,0.0034137928146646818,0.4669051745481556,0.47629611289923246,0.4711963357266651,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_corrective,5,-3.156942312453576,1.182555827373852,-4.487467194850211,-1.7646249071552376,3.156942312453576,0,5,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_misinformation,5,-0.009211686060907099,0.0040136906090931235,-0.01268383263183992,-0.003164149541964534,0.009211686060907099,0,5,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_fst_viewed_ratio_observational,5,-0.005578532851854589,0.03376532424503255,-0.05909362622618053,0.021834730425965843,0.024758440197246313,3,2,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_behavior_guiding,5,0.026060906164892296,0.00042979538189383845,0.025486506561029958,0.026603119584055458,0.026060906164892296,5,0,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_corrective,5,-0.3702267888091109,0.1982744063098739,-0.645172072295122,-0.1351572171329538,0.3702267888091109,0,5,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_misinformation,5,-0.0030363951473137084,0.0007122706453887344,-0.004206486754147032,-0.0022629363703887684,0.0030363951473137084,0,5,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,mean_total_shared_ratio_observational,5,0.004449247517087496,0.006171960339582722,-0.0014752336621157713,0.014503501552304454,0.005039340981933804,4,1,0
fbdeg_rewire_1p0,rewire_1p0,certainty_high_minus_effective_high,peak_mean_selfish_ratio,5,0.0010977964842782879,0.0003316479414660117,0.0006016340678385856,0.0014805644961624065,0.0010977964842782879,5,0,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,-0.10418667987125527,0.006310470490013158,-0.11248576380292152,-0.09588016835850466,0.10418667987125527,0,5,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,2.0010047041346866,1.5571148763876088,-0.3912923991086892,3.4558133201287475,2.1575216637781622,4,1,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_misinformation,5,0.0047427581084434674,0.005921823658102101,-0.002233226046051584,0.009705372616986452,0.0061153750928454546,3,2,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_fst_viewed_ratio_observational,5,0.03004256983668885,0.08997576623757524,-0.05867984087156852,0.1635534158816283,0.07260234155701913,3,2,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_shared_ratio_behavior_guiding,5,-0.005578113394404553,0.000163228499679396,-0.005815795989106219,-0.005375092844763549,0.005578113394404553,0,5,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_shared_ratio_corrective,5,0.2707318643228521,0.2874328964649044,-0.18314929437979677,0.5705521168606094,0.3439915820747708,4,1,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_shared_ratio_misinformation,5,0.0009150779896013539,0.0007837468838953246,-0.00022530329289438544,0.0017925229017082822,0.0010051993067591082,4,1,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,mean_total_shared_ratio_observational,5,0.007142024706460748,0.013538080639695778,-0.009525913631546756,0.022380382816831634,0.01096764359397644,3,2,0
fbdeg_rewire_1p0,rewire_1p0,effective_high_minus_balance,peak_mean_selfish_ratio,5,-0.00027234463976231473,0.00032186184699182943,-0.0006362961128992262,5.9420648675409526e-05,0.00029611289923247853,1,4,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_behavior_guiding,5,0.4711963357266651,0.0034137928146646818,0.4669051745481556,0.47629611289923246,0.4711963357266651,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_corrective,5,3.47962911611785,0.9183569344416563,2.1559173062639267,4.487467194850211,3.47962911611785,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_misinformation,5,0.011501856895272056,0.002560498468812452,0.008566476850704774,0.014917058677891504,0.011501856895272056,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_fst_viewed_ratio_observational,5,0.0769692876422123,0.04868632103006706,0.047719588429257165,0.1635534158816283,0.0769692876422123,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_behavior_guiding,5,0.026060906164892296,0.00042979538189383845,0.025486506561029958,0.026603119584055458,0.026060906164892296,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_corrective,5,0.469513741025006,0.1438486376287312,0.3183065115127506,0.645172072295122,0.469513741025006,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_misinformation,5,0.0030814558058925856,0.000805788144020567,0.0022629363703887684,0.004431790047041417,0.0030814558058925856,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,mean_total_shared_ratio_observational,5,0.013799128399729244,0.009030841570288169,0.003951373102153044,0.022882295727319923,0.013799128399729244,5,0,0
fbdeg_rewire_1p0,rewire_1p0,max_minus_min_strategy,peak_mean_selfish_ratio,5,0.0011096806140133697,0.000309766643555825,0.0006610547165139952,0.0014805644961624065,0.0011096806140133697,5,0,0
fbdeg_rewire_5p0,rewire_5p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_behavior_guiding,5,0.3728091111661303,0.01634651892816676,0.3452092102005446,0.3876083188908146,0.3728091111661303,5,0,0
fbdeg_rewire_5p0,rewire_5p0,certainty_high_minus_balance,mean_total_fst_viewed_ratio_corrective,5,-2.779905917306265,1.8015521840388131,-5.181317157712307,-0.608789304283242,2.779905917306265,0,5,0
